info,url,more,time
"Жыхар Слуцкага раёна атрымаў сур'ёзныя апёкі, разаграваючы дызпаліва",/be/news/20170109/1483954957-zhyhar-sluckaga-rayona-atrymau-suryoznyya-apyoki-razagravayuchy-dyzpaliva,"У выніку ўспышкі пароў дызельнага паліва мужчына 1982 года нараджэння атрымаў моцныя апёкі твару, тулава і ног.",09.01.2017
Францыя адбіла 24 тысячы кібератак на абаронныя аб'екты,/be/news/20170109/1483949110-francyya-adbila-24-tysyachy-kiberatak-na-abaronnyya-abekty,"Як заявіў міністр абароны Францыі Жан-Іў Ле Дрыян, лік такіх кібератак з кожным годам падвойваецца.",09.01.2017
Лепшыя спартсмены 2016 года ўдастоены ўзнагарод Мінспорту,/be/news/20170109/1483967434-lepshyya-spartsmeny-2016-goda-udastoeny-uznagarod-minsportu,Узнагароды ўручыў міністр спорту і турызму Аляксандр Шамко.,09.01.2017
Супрацоўнікі ДАІ пачалі дзяжурыць ля сталічных школ,/be/news/20170109/1483952839-supracouniki-dai-pachali-dzyazhuryc-lya-stalichnyh-shkol,З заканчэннем зімовых канікул з 9 студзеня Дзяржаўтаінспекцыя будзе забяспечваць бяспеку дзяцей паблізу ўстаноў адукацыі.,09.01.2017
"Больш як 5,5 тыс. аб'ектаў з'яўляюцца гісторыка-культурнай каштоўнасцю",/be/news/20170109/1483967218-bolsh-yak-55-tys-abektau-zyaulyayucca-gistoryka-kulturnay-kashtounascyu,Пра гэта паведамілі ў Міністэрстве культуры.,09.01.2017
У Тунісе прайшла акцыя пратэсту супраць вяртання ў краіну джыхадзістаў,/be/news/20170109/1483948880-u-tunise-prayshla-akcyya-pratestu-suprac-vyartannya-u-krainu-dzhyhadzistau,"Некаторыя ўдзельнікі акцыі скандавалі ""Не - вяртанню тэрарыстаў!""",09.01.2017
Ацяпляльны кацёл выбухнуў у доме ў Любані,/be/news/20170109/1483951483-acyaplyalny-kacyol-vybuhnuu-u-dome-u-lyubani,"Ацяпляльны кацёл выбухнуў у жылым доме ў Любані (Мінская вобласць), у выніку здарэння ніхто не пацярпеў, памяшканне кацельні знішчана.",09.01.2017
Падліковая палата Расіі падтрымала праект бюджэту Саюзнай дзяржавы,/be/news/20170109/1483961188-padlikovaya-palata-rasii-padtrymala-praekt-byudzhetu-sayuznay-dzyarzhavy,Пра гэта паведамілі ў прэс-службе палаты.,09.01.2017
"133 тыс. юных жыхароў Мінска паўдзельнічалі ў акцыі ""Нашы дзеці""",/be/news/20170109/1483957395-133-tys-yunyh-zhyharou-minska-paudzelnichali-u-akcyi-nashy-dzeci,"За час правядзення ў Мінску рэспубліканскай навагодняй дабрачыннай акцыі ""Нашы дзеці"" адбылося больш за 520 мерапрыемстваў.",09.01.2017
Бразілія: у ходзе новых сутыкненняў загінулі чацвёра зняволеных,/be/news/20170109/1483948218-braziliya-u-hodze-novyh-sutyknennyau-zaginuli-chacvyora-znyavolenyh,Па меншай меры чацвёра зняволеных загінулі ў ходзе новых сутыкненняў паміж членамі злачынных груповак у турме бразільскага горада Манаус.,09.01.2017
"Прэзідэнт прысудзіў прэмію ""Беларускі спартыўны Алімп"" 2016 года",/be/news/20170109/1483958257-prezident-prysudziu-premiyu-belaruski-spartyuny-alimp-2016-goda,"Аляксандр Лукашэнка прысудзіў спецыяльную прэмію Прэзідэнта ""Беларускі спартыўны Алімп"" 2016 года.",09.01.2017
"Пятая сімфонія Чайкоўскага адкрые ""Студзеньскія музычныя вечары""",/be/news/20170109/1483950963-pyataya-simfoniya-chaykouskaga-adkrye-studzenskiya-muzychnyya-vechary,"Пятая сімфонія Пятра Чайкоўскага прагучыць на ўрачыстым адкрыцці XXIX Міжнароднага фестывалю ""Студзеньскія музычныя вечары"".",09.01.2017
Фільм «Ла-Ла Лэнд» атрымаў некалькі прэмій «Залаты глобус»,/be/news/20170109/1483956335-film-la-la-lend-atrymau-nekalki-premiy-zalaty-globus,"Прэмію ўручаюць з 1944 года, ""курыруе"" яе асацыяцыя кінакрытыкаў.",09.01.2017
Стыпендыі Прэзідэнта на 2017 год назначаны 99 маладым аспірантам,/be/news/20170109/1483953563-stypendyi-prezidenta-na-2017-god-naznachany-99-maladym-aspirantam,"Адпаведнае распараджэнне падпісаў кіраўнік дзяржавы, паведамілі ў прэс-службе беларускага лідара.",09.01.2017
"Прэзідэнт уручыў прэміі ""За духоўнае адраджэнне""",/be/news/20170109/1483952644-prezident-uruchyu-premii-za-duhounae-adradzhenne,"Прэзідэнт Беларусі Аляксандр Лукашэнка прысудзіў прэміі ""За духоўнае адраджэнне"" і спецыяльныя прэміі дзеячам культуры і мастацтва 2016 года.",09.01.2017
За суткі на пажарах у Беларусі загінулі 10 чалавек,/be/news/20170109/1483948145-za-sutki-na-pazharah-u-belarusi-zaginuli-10-chalavek,"За суткі ў Беларусі адбылося 40 пажараў, у выніку якіх загінулі 10 чалавек.",09.01.2017
"Ля берагоў Канады адбыўся землятрус магнітудай 5,8",/be/news/20170109/1483944163-lya-beragou-kanady-adbyusya-zemlyatrus-magnituday-58,"Ачаг землятрусу знаходзіўся на глыбіні 18,9 км.",09.01.2017
Ужыты дадатковыя меры для замацавання на БелАЭС кваліфікаваных кадраў,/be/news/20170109/1483950306-uzhyty-dadatkovyya-mery-dlya-zamacavannya-na-belaes-kvalifikavanyh-kadrau,"Прэзідэнт Беларусі Аляксандр Лукашэнка падпісаў указ ""Аб мерах па прыцягненні работнікаў для будаўніцтва і эксплуатацыі Беларускай атамнай электрастанцыі.",09.01.2017
Прэзідэнт падпісаў указ аб зменах у правілы прыёму ў ВНУ,/be/news/20170109/1483950057-prezident-padpisau-ukaz-ab-zmenah-u-pravily-pryyomu-u-vnu,"Адпаведны ўказ падпісаў Прэзідэнт Беларусі Аляксандр Лукашэнка, паведамілі ў прэс-службе кіраўніка дзяржавы.",09.01.2017
У Мінскай вобласці за суткі абмаражэнні атрымалі 12 дарослых і 1 дзіця,/be/news/20170109/1483947119-u-minskay-voblasci-za-sutki-abmarazhenni-atrymali-12-daroslyh-i-1-dzicya,Такая інфармацыя размешчана на сайце Міністэрства па надзвычайных сітуацыях.,09.01.2017
Былы прэзідэнт Ірана Рафсанджані памёр ва ўзросце 82 год,/be/news/20170109/1483943579-byly-prezident-irana-rafsandzhani-pamyor-va-uzrosce-82-gadou,"Па паведамленнях іранскіх СМІ, ён памёр у выніку інфаркту.",09.01.2017
Заняткі ў школах двух раёнаў Віцебскай вобласці адменены з-за маразоў,/be/news/20170109/1483945664-zanyatki-u-shkolah-dvuh-rayonau-vicebskay-voblasci-admeneny-z-za-marazou,У сувязі з неспрыяльным тэмпературным фонам у Аршанскім і Ушацкім раёнах Віцебскай вобласці сёння адменены заняткі ў школах.,09.01.2017
У Шчучынскім раёне на дарозе замёрз мужчына,/be/news/20170109/1483943111-u-shchuchynskim-rayone-na-daroze-zamyorz-muzhchyna,У Шчучынскім раёне (Гродзенская вобласць) на дарозе да смерці замёрз мужчына.,09.01.2017
Колькасць ахвяр атручэння «Глогам» у Іркуцку павялічылася за святы,/be/news/20170109/1483943061-kolkasc-ahvyar-atruchennya-glogam-u-irkucku-pavyalichylasya-za-svyaty,Яна склала 78 чалавек.,09.01.2017
